Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,56.20123744,57.94813037,59.63261724,61.46690845,59.16058421,55.41006327,53.31487656,54.00316715,52.87431479,57.01459646,56.92653656,52.5808394,54.3064177,55.76590896,55.26521802,55.44804931,49.09985662,47.03498781
Australia,AUS,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,68.37930083,67.75609255,68.62617135,68.050313,68.34458113,68.40206385,68.30727458,69.30779815,68.99900436,69.29585338,68.6365366,69.21322942,67.5357461,67.55192876,67.35797524,68.20805669,68.59477758,68.91285181
Austria,AUT,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,74.16340709,73.64528775,73.43814373,73.1382668,72.05495238,72.65169024,72.85013795,72.79901505,73.7875998,72.84671068,72.39570618,72.68902659,72.87378311,72.16905951,72.51709104,72.45601416,72.21488953,72.39254117
Azerbaijan,AZE,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,22.26407975,21.52503729,19.91705149,13.09601814,12.00159937,12.34477162,15.03515542,19.44556385,21.3145718,21.73511684,21.20028734,21.02657109,22.71939814,21.03369981,20.62973082,19.40166205,17.4602136,15.10731578
Burundi,BDI,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,23.71829599,26.42440796,23.72472137,21.37433887,30.75347543,24.48506653,23.76939952,23.24926853,16.84370637,20.09025663,17.6057443,34.46959555,31.30749166,18.04870963,37.30283082,37.99647987,24.07113463,24.71392751
Belgium,BEL,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,74.53091741,75.332129,73.72327447,74.24271703,76.18306875,76.77597404,76.02808475,75.44403076,77.12956667,77.76124477,77.72874832,77.54881382,78.10401917,77.6061058,78.05481553,77.5724709,77.0919621,77.21738815
Benin,BEN,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,26.07557178,28.63366604,23.87759387,21.90243602,23.81073534,23.25700372,24.22274351,20.61076313,20.88612616,26.48262382,24.20930564,25.76515079,21.86915129,26.74820423,21.56858146,20.13637722,20.53760439,29.9844712
Burkina Faso,BFA,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,32.58329928,33.63924325,35.60902178,31.18563592,40.30577838,30.94970882,31.69763982,27.36342847,29.2850703,32.30834901,24.93154109,28.95878553,23.1278941,28.98208797,32.53527582,28.37508023,40.0837332,43.301934
Bangladesh,BGD,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,28.69051695,22.07117826,24.71072525,25.00970364,24.43157881,22.19648063,23.087506,22.87058234,21.33563459,20.35685927,21.02813721,20.92262357,20.47002912,19.73048002,19.03475821,17.63069779,16.41582549,16.69334024
Bulgaria,BGR,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,59.55728889,56.07351065,59.33761597,60.716784,59.42907929,59.57205296,55.67277074,55.74913025,55.39444089,53.80401015,55.24332523,54.13435698,50.79977512,51.46080256,52.81645656,50.85490942,50.56233406,51.86407566
Bahrain,BHR,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,66.03279114,66.88708663,66.71940684,62.43166327,64.97053504,67.61738062,68.94334555,65.51988721,66.06522799,63.90399337,62.96856403,62.53778934,65.34789205,65.1478231,65.06402493,64.8847878,61.36419773,57.97814131
"Bahamas, The",BHS,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,47.50978351,47.86657393,48.19524288,46.68805897,47.16578722,44.25729811,46.70424163,44.785586,46.4982152,48.35806191,47.31551111,47.44565189,46.88668549,47.00905085,44.30482388,50.16025305,49.80561733,43.86956394
Bosnia and Herzegovina,BIH,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,53.31020951,59.58407521,62.11181879,68.28538775,56.95884228,54.57805395,54.56290245,55.31858206,55.68835735,68.04770231,68.05644631,68.36428046,68.63848567,69.37789321,70.30995488,70.8698988,71.0195601,70.4874754
Belarus,BLR,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,78.66544724,74.61546063,72.53397703,75.99231601,76.69067383,74.49872494,71.47140503,70.18517852,65.7820344,64.56335783,68.04415584,63.35825324,65.65189958,62.65648007,62.60076761,60.78436375,70.94084024,69.96361613
Belize,BLZ,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,50.39251447,53.18333507,51.36793256,54.87270355,54.54878807,56.74263239,60.034132,63.69113922,64.24282789,66.2886858,66.51541591,64.60744143,65.1226759,65.81110954,58.46543312,69.37205195,67.05312133,67.97633171
Bermuda,BMU,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,55.3291738,54.17406559,53.1435132,53.00776958,52.13727355,54.26985025,56.02086782,59.09320712,58.65034461,61.03662848,58.7680459,58.39107633,57.03056455,58.52252841,62.62419224,65.74084759,64.82120156,68.52770448
Brazil,BRA,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,41.63555503,41.08930528,42.38710403,42.85684228,42.6702708,41.63146615,42.92739332,42.48596728,43.74352992,44.16326582,45.02125382,44.49915588,43.36180687,44.51945722,44.05274689,42.91180968,42.95980334,41.87937677
Barbados,BRB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,51.85347795,53.28871608,53.51586938,56.23847842,59.38097239,57.19828606,56.2659204,54.45846319,55.32143712,54.5955956,53.4508884,48.49534631,55.33291698,50.08966327,46.23165429,45.83252966,45.88363171,44.20089126
Brunei Darussalam,BRN,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,84.16868448,83.19325447,83.58944654,82.94866085,83.09051991,83.66603851,85.31147242,87.21500039,89.89176154,90.50059915,91.73865318,91.52812958,91.14807248,90.59258103,92.66539812,95.02642155,95.0201869,94.82339025
Bhutan,BTN,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,79.66617346,70.69814801,72.40852118,69.16651726,66.05214477,63.90855312,55.88533282,64.55660462,69.12611127,73.85078669,72.05212116,73.41854572,69.57640648,68.8839376,69.01010275,74.25158024,73.95302057,74.51843023
Botswana,BWA,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,54.82462645,56.63294792,58.13522339,57.9654336,58.35523009,56.53868318,57.20681548,56.68532252,62.19720244,51.50703788,57.55473971,61.41548753,64.50315118,63.92881274,67.85911322,67.75788069,66.52246714,75.65959692
Central African Republic,CAF,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,41.51006937,40.33057094,35.65824032,40.23870528,38.20284903,35.07515192,36.51550412,38.48007917,33.13630223,18.17250997,28.45414877,21.80873454,26.10692978,13.07061017,18.82549524,8.268853277,14.70806599,12.82263398
Canada,CAN,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,72.85163999,72.80158401,72.43798375,73.13981652,73.06193709,73.03554416,73.22179675,73.45314622,73.65753651,74.08288717,73.78463149,74.42243695,74.51617122,74.52129722,74.4761169,74.60772395,73.89766574,73.71863723
Central Europe and the Baltics,CEB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,73.80164425,73.6718792,74.22503129,74.47562489,72.62453709,73.27869742,73.1110947,72.98395322,73.68200618,73.88796013,73.56084634,72.95009661,71.97729449,72.7754345,72.84625974,72.36159832,72.14873675,72.3800436
Switzerland,CHE,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,27.98169255,29.35148478,30.60350716,30.72453737,30.11217117,30.13091683,29.80882525,29.90936041,30.53664267,30.97395301,31.10568523,31.70702457,32.41034746,31.39940798,30.71865737,30.43444753,29.7054857,30.4928273
Channel Islands,CHI,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
Chile,CHL,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,35.79472303,36.36408746,37.54184544,38.24768662,39.4664228,39.3424958,41.34890735,42.2588557,43.52520704,46.86124921,47.10450172,47.15741873,47.93561101,47.6493448,47.73588479,48.01672697,49.62516129,50.05831122
China,CHN,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,21.97528929,22.91764319,25.38583577,28.37373912,30.24400473,32.75773525,35.13990045,39.02609348,44.52240169,49.39831495,51.90622807,53.72208953,55.73527217,57.05029368,58.41549039,60.18100977,58.10143352,56.67334795
Cote d'Ivoire,CIV,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,14.48562294,14.69791532,17.08522141,15.69075882,15.01524746,13.83119375,13.39476109,12.92293221,13.20789009,14.95302767,13.3071661,13.18704933,16.85137749,19.57717836,20.84157914,24.49520379,25.4362762,28.46020162
Cameroon,CMR,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,16.93237126,19.68559772,21.87485993,21.27735615,18.77943277,17.10981429,17.05068648,14.61243182,13.08400333,17.01269299,18.03357005,32.92064071,14.54271227,14.25993294,11.73317656,14.46022689,13.20306808,13.31757605
"Congo, Dem. Rep.",COD,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,3.966091201,3.918199614,3.916131333,6.008224562,4.940734804,5.050500482,5.098235607,5.576549098,5.834538862,6.839697063,10.30609086,10.85306332,15.87839574,13.97492141,13.84381503,16.56808555,12.6205042,9.949006885
"Congo, Rep.",COG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,34.19882953,44.16408241,25.38570762,26.12215579,22.64743,25.15716851,32.47791529,30.83691001,49.09125268,28.83498669,44.73592043,37.16899753,42.88275242,48.1946826,47.99256623,45.54232955,45.06302178,40.73575437
Colombia,COL,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,74.53343868,75.05118251,76.18762851,77.379632,73.5319674,71.82036638,72.08506465,70.65232396,69.36097145,72.05203772,72.22514153,73.49956632,69.86177564,69.99664903,70.33763528,69.96536255,68.72698665,67.79965162
Comoros,COM,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,12.99303323,11.21675819,16.12140983,15.50704837,14.67114985,13.47032636,13.05778474,12.20967695,10.58975011,9.471961856,9.129691124,18.26940477,10.98629385,12.32167482,12.21310422,13.50313127,14.99262005,12.74803281
Cabo Verde,CPV,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,71.29876614,73.0119288,72.79753089,73.35093021,71.35683298,69.10139322,66.25353694,71.06488943,68.44342947,71.54020071,63.25498819,66.54673815,59.8972559,57.76818395,57.13071823,65.85930586,63.58180046,60.2447331
Costa Rica,CRI,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,64.92300034,65.55662751,66.86169505,66.37474895,66.01708531,63.95664811,66.1092639,66.21093154,67.81954765,70.94269991,72.31500149,70.19308209,70.68045735,71.00036144,71.02150321,72.70618677,73.32389355,73.50926995
Caribbean small states,CSS,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,48.29830095,47.0266554,49.64858639,48.71295956,50.93214735,49.1230404,49.22666489,48.27342845,49.19659825,50.42234705,50.21083083,50.41074785,50.27868821,51.85921042,50.06827593,53.59633034,54.38688125,54.02452129
Cuba,CUB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,83.69687796,81.21708035,80.50538301,79.53190207,80.043751,84.86508131,85.59684157,90.10673165,90.96945524,91.8017745,90.77864885,88.98711801,86.70360446,87.60780692,90.25088549,90.33050537,89.62085247,89.4421339
Curacao,CUW,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,41.07523561,41.83108807,44.37968135,43.95387173,41.28762782,41.47182703,42.83158779,43.16335618,41.6125536,42.52978563,47.7653712,46.55297101,44.89618242,45.47863007,43.17458272,42.09488034,42.10669398,42.40702689
Czech Republic,CZE,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,88.70406151,87.44812012,88.07415962,87.48166561,87.60249019,85.22625566,85.50295234,83.7924242,80.99499345,82.88338184,83.12776685,83.69435072,83.54439735,83.40600133,82.57013559,82.23296404,81.8783164,81.74878359
Germany,DEU,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,78.28006148,78.24679017,77.8998673,77.54355073,76.05139613,75.80537796,75.36190748,75.27324557,75.41486621,75.75992942,75.75278282,75.44247508,75.49275756,76.37897134,77.03728676,76.92762613,77.24430561,77.65988111
Djibouti,DJI,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,48.00641537,44.59395707,35.86056232,37.8231287,43.28553081,43.34219992,49.54573214,50.82165003,57.3996067,59.26671028,60.67915559,63.49311471,57.27902055,61.89267635,59.48296785,54.62177992,48.89503717,47.04878628
Dominica,DMA,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,62.53768802,61.14937663,58.73121023,59.63285565,57.38292933,58.20952058,58.44186544,53.23569775,55.4754436,56.74898028,58.91925693,59.06954408,58.39940906,60.68860888,60.74538827,66.03887677,65.40337801,64.96322155
Denmark,DNK,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,83.10736418,83.40568542,83.8057816,83.90985131,83.54908228,83.74406099,83.87025595,83.70829225,84.01986361,84.45875645,83.87972116,83.61362219,83.9797616,84.26116705,84.18953419,84.18320417,84.12241936,84.02403593
Dominican Republic,DOM,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,35.02082229,34.89286304,33.68211091,26.42828524,26.76638365,31.99626803,35.09866297,40.04420936,44.88469958,45.80552578,45.10139823,48.10536206,46.96027339,48.19800258,42.79041588,40.93559086,45.72493732,46.00228071
Algeria,DZA,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,71.96343541,76.22702122,75.2786696,76.69420242,71.35350108,69.29091215,68.46274137,69.78754401,71.99536562,70.90392709,69.48214769,70.6248939,72.92945981,71.04844451,72.00878263,70.45933008,67.68435836,65.95469117
East Asia & Pacific (excluding high income),EAP,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,26.46128303,27.0725766,29.45076412,31.955214,33.33258162,34.67152958,37.25368972,40.67470711,44.81769596,48.62369476,49.88552704,51.53925655,53.65841399,55.0766795,56.47877708,58.4114119,56.77841536,55.82404445
Early-demographic dividend,EAR,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,45.94381363,45.27618663,44.07699213,43.99896617,44.57000458,43.66995826,45.75345493,46.0634548,46.51496008,47.54972411,46.92616801,48.85619223,49.82892629,49.80382727,50.76074631,51.29803422,50.29034439,49.67702174
East Asia & Pacific,EAS,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,70.11467725,69.70064233,68.96053737,68.4832857,68.7331624,68.46540916,67.17418804,67.34244521,67.51973778,68.64903952,68.87941638,70.42054379,70.15996038,68.79700497,68.35741064,68.34709594,68.08766315,67.07984629
Europe & Central Asia (excluding high income),ECA,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,59.4904901,60.219743,61.53955487,62.41614312,61.9185054,62.42078036,62.81691988,63.36032516,64.37920846,65.78268039,64.47202406,64.12181551,64.53607679,63.47402872,62.89713089,61.33402414,61.12106618,60.5487018
Europe & Central Asia,ECS,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,74.66304767,74.83398223,74.97859721,74.89770812,74.46885818,74.59255032,74.53492814,74.33455357,74.27639919,74.73607956,74.37096511,73.80266839,73.6233815,73.17212773,73.35379435,72.9744717,72.96857421,72.83737187
Ecuador,ECU,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,28.98763418,33.58097672,31.69502318,30.74833453,31.21395111,30.1655978,31.95877373,38.03846836,39.29269016,41.23234749,44.82392669,47.39100039,49.29151237,51.26972198,51.60064101,49.38185811,51.06835961,52.8208673
"Egypt, Arab Rep.",EGY,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,35.18718481,34.22034681,34.46139693,31.92203641,32.51028955,32.28804171,36.0245496,35.2887094,34.39305723,35.04709899,32.93099403,33.84382725,29.70098257,30.91954887,31.64188266,31.24345541,30.87207377,32.99524188
Euro area,EMU,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,75.9401478,76.24760678,76.24221425,76.02975907,75.24275547,75.40675171,75.08514498,74.92160077,74.95076118,75.3629762,75.27485522,74.69079735,74.42491325,74.58005527,74.80698919,74.52824112,74.66265889,74.71548494
Eritrea,ERI,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,35.59143543,30.27294576,31.68948889,22.74740338,22.24495262,12.42664307,11.93084046,23.01511317,7.067394257,26.2308836,15.29098451,13.56592774,21.32523507,10.53005978,11.99940965,12.49374822,29.73314524,27.24905908
Spain,ESP,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,71.35790586,71.02931738,71.04043961,71.3123858,71.56837583,71.85753584,72.4658072,72.70912528,73.634094,75.3847599,74.75104332,73.74817133,72.17975855,71.00703716,70.39797306,71.22027278,71.09109759,70.61620355
Estonia,EST,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,75.93586445,78.13809514,76.10370517,75.99999905,73.92607331,74.00557995,74.74465966,75.03976226,76.22605562,77.17743516,74.19804931,74.98969436,76.13625526,75.45925975,75.37283301,75.33737421,75.41483641,74.66412187
Ethiopia,ETH,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,41.21917784,42.66368151,44.15492117,46.45089209,30.72259724,42.13438332,25.1242578,26.65000558,12.01134697,19.50293183,17.26573557,8.527926356,23.49223942,26.98083222,17.72080809,24.47217107,23.77667278,24.94517863
European Union,EUU,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,76.30473235,76.49012347,76.52068853,76.35388751,75.55221118,75.72405253,75.44321243,75.29422122,75.30612651,75.70395018,75.60869153,75.180044,74.92301754,75.10756721,75.2729504,74.99643449,75.10062113,75.1695916
Fragile and conflict affected situations,FCS,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,36.69468741,39.68088252,38.18960657,36.08743457,40.9673443,37.7562452,40.8921187,39.53909496,35.11344618,34.49541756,34.05486714,34.89536758,32.18061794,27.86876776,26.44254772,27.08598049,22.02622579,24.60833844
Finland,FIN,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,74.26294684,74.73367453,75.51614642,76.12022758,76.63173079,76.82141066,77.71485448,77.68151164,77.75318027,77.83756256,77.26186514,77.85956264,78.44939232,77.85956264,78.12229395,77.60064602,76.51690245,76.74459219
Fiji,FJI,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,76.84042454,71.8142271,73.79863858,74.78234172,68.07650924,74.2146194,73.94041419,72.2715497,69.44023371,62.00360656,63.89648914,60.13278961,58.61300826,58.48069191,61.33419871,63.11802864,63.90228271,66.23089314
France,FRA,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,78.88056636,78.91210318,79.17591929,78.77847552,78.78648639,78.68466377,77.27501988,77.09338665,76.57002807,76.5585959,76.3465941,76.08206272,76.15270019,76.3233304,76.65345669,76.68228149,76.87343359,77.09195018
Faroe Islands,FRO,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,22.51299024,21.58382088,21.4947924,22.01756388,19.33326125,14.99796957,24.33444709,22.22969979,24.57088232,17.40960777,17.4684763,23.17686379,20.96424997,22.7976054,28.38323712,25.73464811,27.10689306,25.80915987
Gabon,GAB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,36.61628664,40.06394148,36.01919711,40.57791829,40.8100903,35.93299389,38.7070924,39.13773596,38.01879287,40.1227355,63.55134845,61.99216843,61.25044823,64.17146921,59.88135338,58.90986323,64.69581127,63.28516006
United Kingdom,GBR,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,81.7158699,81.54532313,81.87685013,81.71738386,83.15272331,83.49241614,84.4404459,83.57979059,84.58340764,85.1733923,84.75273252,84.26555991,84.51212645,79.92378473,80.03397584,79.98729348,80.09303808,79.41177487
Georgia,GEO,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,11.40939593,15.83655179,14.35726136,14.28571492,14.56548274,14.92227912,15.52680284,14.70361799,18.17632914,21.42453343,21.31313086,17.48286039,19.44317669,23.55811894,27.60162652,35.5696708,36.6402626,37.2146517
Ghana,GHA,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,27.36804783,33.05437267,24.68007505,28.94487083,24.6289745,38.4195298,38.7391597,41.64933264,42.5119102,47.20807374,51.73820257,50.66602826,48.18536639,40.55618644,35.07660627,35.08222401,38.35555315,33.47040415
Gibraltar,GIB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
Guinea,GIN,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,8.674560487,10.25967672,15.787597,11.88309267,7.353322208,8.461318165,8.42660889,7.881329954,9.336835146,8.77500847,12.01010346,13.46775591,14.67796862,14.11770433,12.77202219,7.390202582,12.29854301,17.17888862
"Gambia, The",GMB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,23.49779308,31.8187207,22.883448,40.56222439,51.13162398,45.23917139,34.81884003,35.59590578,32.92470574,41.18406475,32.12780654,34.28309858,37.80810237,26.40765905,21.74775749,17.22397804,20.58937401,22.89288193
Guinea-Bissau,GNB,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,45.08851767,47.15519249,32.03878105,40.21216333,44.89238262,39.12868798,37.67639101,37.30734289,34.52909887,40.87032974,18.34509373,8.668621629,10.15663967,9.018424153,7.518238574,7.651057839,7.213585079,8.197737485
Equatorial Guinea,GNQ,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,13.7219429,8.241610974,6.562164426,8.469251543,13.18617612,13.72959316,17.2022149,18.44015867,16.28037989,31.87873065,24.94793534,26.06540918,41.48819447,22.77645022,21.47529721,19.01643574,21.99699879,18.83260906
Greece,GRC,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,58.24412704,60.40260792,61.09024882,62.84000278,64.88095522,67.69635081,68.26582551,65.09413123,65.73848724,61.51918769,57.6374948,57.37937093,60.45150161,60.17802954
Grenada,GRD,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,33.47481489,36.99826896,41.32880569,41.66675806,47.2424835,49.53674078,48.40102494,44.91821229,41.2196368,43.66737902,41.01687372,42.14615524,41.75948203,41.13228321,45.58858275,41.30046368,46.15413249,42.69669056
Greenland,GRL,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,35.44107974,32.64358342,32.34149218,33.17714036,32.32018054,30.59626818,32.47478008,31.95878267,33.77882242,35.64604819,33.65648985,33.43029022,33.36420059,35.33002734,37.10312545,37.16466427,36.40985787,35.84477007
Guam,GUM,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,
Guyana,GUY,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,53.17116976,52.7025044,54.97829318,53.6937654,46.29457295,43.40965152,35.71597934,32.74622262,31.23519123,30.17087877,30.94068468,36.38076186,41.9285506,47.54221737,51.86626911,49.91050065,63.00772429,59.88700986
High income,HIC,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,59.59907935,59.50493482,59.33563061,59.8847616,60.49168328,60.56846531,60.81634509,61.21573277,62.15139934,62.56620064,62.56983285,63.27111922,62.7777477,62.53985615,62.84114812,61.84661012,61.55203842,61.48773485
